ID,SEDE,DIA,DEPORTE,COMIENZO,FIN,Final
1,Green Park,1,Tenis,10:00,18:00,no
2,Green Park,1,Triatlon,11:00,13:00,si
3,Green Park,1,Voley,09:00,16:50,no
4,Green Park,1,Futsal,14:00,22:00,no
5,Urban Park,1,Remo,15:30,17:05,no
6,Urban Park,1,Basquet,09:00,14:00,no
7,Urban Park,1,Baile,15:15,18:00,no
8,Urban Park,1,Escalada,09:00,09:25,no
9,Urban Park,1,Escalada,12:00,14:10,no
10,Urban Park,1,Escalada,15:00,16:20,no
11,Stand Alone,1,Navegacion a Vela,12:00,18:00,no
12,Stand Alone,1,Ciclismo,11:00,13:00,si
13,Tecnopolis Park,1,Badminton,09:00,12:30,no
14,Tecnopolis Park,1,Badminton,13:30,17:00,no
15,Tecnopolis Park,1,Badminton,18:00,21:00,no
16,Tecnopolis Park,1,Futsal,14:00,00:22,no
17,Tecnopolis Park,1,Tenis de mesa,10:00,14:30,no
18,Tecnopolis Park,1,Tenis de mesa,16:00,20:30,no
19,Tecnopolis Park,1,Tiro,09:00,12:15,si
20,Youth Olympic Park,1,Gimnasia,14:00,16:55,no
21,Youth Olympic Park,1,Gimnasia,19:00,21:50,no
22,Youth Olympic Park,1,Judo,10:00,12:25,no
23,Youth Olympic Park,1,Judo,15:00,16:00,si
24,Youth Olympic Park,1,Halterofilia,16:00,17:30,si
25,Youth Olympic Park,1,Halterofilia,20:00,21:30,si
26,Youth Olympic Park,1,Hockey,09:30,18:30,no
27,Youth Olympic Park,1,Esgrima,09:00,13:35,no
28,Youth Olympic Park,1,Esgrima,16:30,19:40,si
29,Youth Olympic Park,1,Natacion,10:00,11:30,no
30,Youth Olympic Park,1,Natacion,18:00,19:15,si
31,Youth Olympic Park,1,Taekwondo,14:00,17:00,no
32,Youth Olympic Park,1,Taekwondo,19:00,21:00,si
33,Green Park,2,Tenis,10:00,18:00,no
34,Green Park,2,Triatlon,11:00,13:00,si
35,Green Park,2,Voley,09:00,16:50,no
36,Green Park,2,Equitacion,14:00,15:30,no
37,Urban Park,2,Remo,13:00,14:30,no
38,Urban Park,2,Remo,15:30,17:00,no
39,Urban Park,2,Basquet,09:00,14:00,no
40,Urban Park,2,Baile,15:00,18:00,si
41,Urban Park,2,Escalada,09:00,09:25,no
42,Urban Park,2,Escalada,12:00,14:10,no
43,Urban Park,2,Escalada,15:00,16:20,no
44,Stand Alone,2,Navegacion a Vela,12:00,18:00,no
45,Tecnopolis Park,2,Badminton,09:00,12:30,no
46,Tecnopolis Park,2,Badminton,13:30,17:00,no
47,Tecnopolis Park,2,Badminton,18:00,21:00,no
48,Tecnopolis Park,2,Futsal,14:00,22:00,no
49,Tecnopolis Park,2,Tenis de mesa,10:00,14:30,no
50,Tecnopolis Park,2,Tenis de mesa,16:00,20:30,no
51,Tecnopolis Park,2,Tiro,09:00,12:15,si
52,Tecnopolis Park,2,Handball,10:00,13:20,no
53,Tecnopolis Park,2,Handball,14:30,17:50,no
54,Youth Olympic Park,2,Gimnasia,14:00,16:45,no
55,Youth Olympic Park,2,Gimnasia,19:00,21:25,no
56,Youth Olympic Park,2,Judo,10:00,12:25,no
57,Youth Olympic Park,2,Judo,15:00,16:00,si
58,Youth Olympic Park,2,Halterofilia,16:00,17:30,si
59,Youth Olympic Park,2,Halterofilia,20:00,21:30,si
60,Youth Olympic Park,2,Hockey,09:30,18:30,no
61,Youth Olympic Park,2,Esgrima,09:00,13:45,no
62,Youth Olympic Park,2,Esgrima,17:00,20:10,si
63,Youth Olympic Park,2,Natacion,10:00,11:30,no
64,Youth Olympic Park,2,Natacion,18:00,19:55,si
65,Youth Olympic Park,2,Taekwondo,14:00,17:00,no
66,Youth Olympic Park,2,Taekwondo,19:00,21:00,si
67,Green Park,3,Tenis,10:00,18:00,no
68,Green Park,3,Voley,09:00,16:50,no
69,Green Park,3,Equitacion,14:00,16:00,si
70,Urban Park,3,Remo,15:00,17:25,si
71,Urban Park,3,Basquet,19:00,14:00,no
72,Urban Park,3,Escalada,10:00,10:20,no
73,Urban Park,3,Escalada,12:00,13:15,no
74,Urban Park,3,Escalada,16:00,16:40,si
75,Stand Alone,3,Golf,08:30,17:00,no
76,Stand Alone,3,Navegacion a Vela,12:00,18:00,no
